['09:28:03', 11935, 11945, 282236, 185933, 120823, 33816, 17412, 73519, 110152, 131708, -150528, -75781, -47304, -16404]
['09:28:13', 11940, 11945, 284761, 187787, 123392, 32471, 916, 53736, 105127, 131399, -153362, -82660, -69656, -31555]
['09:28:23', 11935, 11940, 261838, 182251, 114265, 14544, 4655, 44557, 93402, 123255, -138583, -88849, -69708, -9889]
['09:28:34', 11930, 11935, 216360, 150605, 64422, 14441, 2752, 60838, 103929, 136254, -80106, -46676, -3584, -11689]
['09:28:44', 11935, 11940, 262818, 179260, 109517, 18643, 3425, 56285, 107761, 137974, -124844, -71499, -53232, -15218]
['09:28:53', 11935, 11945, 271631, 173910, 109741, 22444, 20652, 77998, 117177, 147131, -124500, -56733, -31743, -1792]
['09:29:03', 11945, 11950, 288103, 213062, 148494, 62592, 11445, 72773, 108846, 145811, -142292, -104216, -75721, -51147]
['09:29:13', 11945, 11950, 284231, 208937, 140458, 65978, 17538, 78329, 115269, 148734, -135497, -93668, -62129, -48440]
['09:29:23', 11950, 11955, 239432, 181983, 99794, 43598, 14520, 64237, 100488, 141362, -98070, -81495, -35557, -29078]
['09:29:33', 11945, 11950, 250847, 169420, 103135, 16315, 1159, 60117, 101013, 139163, -111684, -68407, -43018, -15156]
['09:29:43', 11935, 11940, 210199, 139281, 42527, 3114, 21683, 75066, 121111, 146790, -63409, -18170, 32539, 18569]
['09:29:53', 11930, 11940, 220330, 151800, 58841, 20757, 20560, 86363, 122258, 145222, -75108, -29542, 27522, -197]
['09:30:03', 11940, 11945, 227211, 142536, 68996, 9917, 4337, 53664, 99980, 126479, -100732, -42556, -15332, -5580]
['09:30:14', 11930, 11940, 216206, 143734, 47445, 9907, 28080, 85705, 117125, 140288, -75918, -26609, 38260, 18173]
['09:30:24', 11945, 11950, 237083, 158257, 88809, 510, 21629, 68148, 97792, 120823, -116260, -60465, -20661, 21119]
['09:30:34', 11940, 11945, 213868, 133292, 68002, 9261, 8545, 57508, 100722, 118450, -95418, -32570, -10494, -716]
['09:30:44', 11935, 11940, 202763, 134798, 42220, 13804, 14233, 50383, 93065, 122251, -80512, -41733, 8163, 429]
['09:30:53', 11930, 11940, 196911, 128354, 34842, 16877, 11167, 74708, 104070, 122557, -74354, -24284, 39866, -5710]
['09:31:03', 11935, 11940, 187206, 117773, 24259, 3174, 4451, 53433, 85458, 112725, -74481, -32315, 29174, 1277]
['09:31:13', 11920, 11925, 114134, 57223, 30385, 5873, 17234, 61327, 91113, 106274, -7860, 33890, 30942, 11361]
['09:31:23', 11905, 11910, 87747, 65688, 29778, 10, 10445, 51261, 80604, 104575, 16828, 14916, 21483, 10435]
['09:31:33', 11915, 11920, 84162, 53645, 29222, 7884, 11246, 47913, 93354, 113948, 29786, 39709, 18691, 3362]
['09:31:43', 11925, 11930, 139729, 74587, 19696, 5229, 4816, 57560, 91097, 113884, -25845, 16510, 37864, -413]
['09:31:54', 11910, 11915, 121443, 71209, 40226, 3157, 12099, 63165, 92270, 106605, -14838, 21061, 22939, 8942]
['09:32:04', 11900, 11905, 87504, 70028, 43582, 11090, 11540, 52452, 76773, 122147, 34643, 6745, 8870, 450]
['09:32:14', 11900, 11905, 83894, 66366, 39378, 4364, 7420, 51981, 76229, 122143, 38249, 9863, 12603, 3056]
['09:32:24', 11890, 11900, 92127, 74352, 54462, 16615, 29661, 69557, 120954, 143751, 51624, 46602, 15095, 13046]
['09:32:33', 11885, 11890, 78120, 60295, 26389, 1615, 20649, 71624, 123396, 143814, 65694, 63101, 45235, 19034]
['09:32:43', 11885, 11895, 82409, 61959, 40571, 11798, 10517, 74100, 124137, 143311, 60902, 62178, 33529, -1281]
['09:32:53', 11885, 11890, 78359, 60842, 35048, 6418, 3659, 68961, 124526, 144002, 65643, 63684, 33913, -2759]
['09:33:03', 11890, 11895, 72911, 55270, 30049, 4110, 2546, 65725, 134292, 158459, 85548, 79022, 35676, -1564]
['09:33:13', 11885, 11890, 80536, 63329, 41954, 13143, 7666, 71900, 133466, 156542, 76006, 70137, 29946, -5477]
['09:33:23', 11875, 11880, 82142, 61360, 29048, 7117, 15521, 94578, 120681, 180083, 97941, 59321, 65530, 8404]
